packet_cnt,packet_cnt_up,packet_cnt_down,intarv_time_med,intarv_time_max,intarv_time_min,intarv_time_med_up,intarv_time_max_up,intarv_time_min_up,intarv_time_med_down,intarv_time_max_down,intarv_time_min_down,bytes_payload_l4_med,bytes_payload_l4_max,bytes_payload_l4_min,bytes_payload_range,bytes_payload_l4_med_up,bytes_payload_l4_max_up,bytes_payload_l4_min_up,bytes_payload_range_up,bytes_payload_l4_med_down,bytes_payload_l4_max_down,bytes_payload_l4_min_down,bytes_payload_range_down,duration_flow,duration_flow_up,duration_flow_down,changes_bulktrans_mode,duration_bulkmode,duration_bulkmode_up,duration_bulkmode_down,qouta_bulkmode,qouta_bulkmode_upstream,qouta_bulkmode_downstream,time_in_idle_mode,time_in_idle_mode_upstream,time_in_idle_mode_downstream,time_in_idle_mode_qouta,time_in_idle_mode_qouta_up,time_in_idle_mode_qouta_down,website
16,8,8,0.0014040470123291016,58.09373903274536,1.811981201171875e-05,0.010061979293823242,58.09373903274536,8.511543273925781e-05,0.009057044982910156,58.09463381767273,0.0002808570861816406,6,77,0,77,31,46,0,46,6,77,6,71,24403183708.83967,12201591854.417759,12201591854.421906,0,0,4575596864.747915,0,0.0,37.499999338949,0.0,63.43242788314819,63.43242788314819,63.43421292304993,2.599350504424994e-07,5.198701008850873e-07,5.198847304506511e-07,3
162,79,83,0.00016808509826660156,11.75935697555542,1.1920928955078125e-06,0.16541314125061035,11.75935697555542,5.4836273193359375e-05,0.1635880470275879,11.76013994216919,1.1920928955078125e-06,6,8424,0,8424,209,3567,0,3567,6,8424,6,8418,247082234481.87772,120490719289.61049,126591515192.26704,5,22877984747.51886,4575596822.103937,0,8.426966317375904,3.7974682606932326,0.0,74.59802746772766,74.59802746772766,74.61413049697876,2.747772899365183e-08,6.191184508445374e-08,5.894086217678563e-08,3
22,11,11,0.006236076354980469,10.249904870986938,2.5033950805664062e-05,10.239364862442017,10.250391006469727,0.010313034057617188,10.23929500579834,10.250185012817383,0.009379863739013672,6,6,0,6,0,0,0,0,6,6,6,0,33554377787.20981,16777188893.599392,16777188893.610413,0,0,4575596855.032465,0,0.0,27.272726581615142,0.0,84.55964660644531,84.56978583335876,84.57002401351929,2.7720857318093702e-08,5.040760187520015e-07,5.040774384183501e-07,3
29,13,16,0.0015490055084228516,33.14002704620361,1.3113021850585938e-05,0.03932595252990723,33.14002704620361,0.0008289813995361328,0.02695608139038086,33.14181399345398,0.0008440017700195312,82,5595,0,5595,82,149,0,149,434,5595,6,5589,44230770028.22203,19827586568.341377,24403183459.880653,0,0,4575596824.462637,0,0.0,23.076922694002874,0.0,41.87005305290222,41.87005305290222,41.87290406227112,1.1987856157385182e-08,2.1117069850425443e-07,1.7158787553726772e-07,3
22,11,11,0.0008370876312255859,10.24353814125061,2.09808349609375e-05,10.240041971206665,10.244271993637085,0.01022195816040039,10.239868879318237,10.244094133377075,0.009363889694213867,6,6,0,6,0,0,0,0,6,6,6,0,33554377795.759644,16777188897.876759,16777188897.882881,0,0,4575596855.800083,0,0.0,27.272726579237293,0.0,85.30553030967712,85.31083297729492,85.31093621253967,2.228316928946462e-08,5.08493010936364e-07,5.084936262671817e-07,3
216,108,108,0.0008399486541748047,34.78346014022827,6.198883056640625e-06,0.00785207748413086,34.78346014022827,6.4849853515625e-05,0.007912874221801758,34.78422498703003,8.296966552734375e-05,99,31204,0,31204,0,145,0,145,2651,31204,6,31198,329442979193.6148,164721489596.81366,164721489596.80096,0,0,4575596825.994148,0,0.0,2.777777712667466,0.0,83.72977232933044,83.72977232933044,83.73697328567505,1.1755375979476297e-08,5.083111653147052e-08,5.08354881264389e-08,3
8,4,4,0.02124190330505371,58.03951096534729,1.9073486328125e-05,58.03951096534729,58.03951096534729,0.021953105926513672,58.08276915550232,58.08276915550232,0.0210418701171875,46,46,0,46,46,46,0,46,46,46,6,40,12201591772.915031,6100795886.477847,6100795886.437186,0,0,4575596885.806055,0,0.0,74.99999952379443,0.0,58.03951096534729,58.03951096534729,58.08276915550232,8.011311695275189e-09,9.513432680806348e-07,9.520523262321791e-07,3
22,11,11,0.0010099411010742188,10.24008297920227,2.1219253540039062e-05,10.240036964416504,10.24068307876587,0.012212038040161133,10.239840984344482,10.240638971328735,0.011180877685546875,6,6,0,6,0,0,0,0,6,6,6,0,33554377822.783447,16777188911.388535,16777188911.394917,0,0,4575596859.62867,0,0.0,27.27272658009296,0.0,85.0304434299469,85.03583812713623,85.03584003448486,1.1217383021962494e-08,5.068539108444622e-07,5.068539222129714e-07,3
8,4,4,0.010703086853027344,58.05032706260681,1.811981201171875e-05,58.05032706260681,58.05032706260681,0.011545896530151367,58.097803831100464,58.097803831100464,0.010663986206054688,46,46,0,46,46,46,0,46,46,46,6,40,12201591804.9055,6100795902.475153,6100795902.430348,0,0,4575596897.807972,0,0.0,74.99999952385896,0.0,58.05032706260681,58.05032706260681,58.097803831100464,7.536796462677352e-09,9.51520555523833e-07,9.522987616739692e-07,3
8,4,4,0.034284114837646484,58.120315074920654,1.8835067749023438e-05,58.120315074920654,58.120315074920654,0.03526806831359863,58.12121105194092,58.12121105194092,0.034284114837646484,46,46,0,46,46,46,0,46,46,46,6,40,12201591877.538517,6100795938.76836,6100795938.770158,0,0,4575596924.980799,0,0.0,74.9999995230873,0.0,58.120315074920654,58.120315074920654,58.12121105194092,7.428208562479783e-09,9.526677446394656e-07,9.526824308707727e-07,3
16,8,8,0.0008161067962646484,58.14259696006775,1.6927719116210938e-05,0.01896500587463379,58.14259696006775,0.00010395050048828125,0.018378019332885742,58.14316487312317,0.0002720355987548828,6,77,0,77,31,46,0,46,6,77,6,71,24403184053.545498,12201592026.771128,12201592026.774368,0,0,4575596930.968185,0,0.0,37.49999935196172,0.0,62.36620497703552,62.36620497703552,62.36762499809265,7.729780109107811e-09,5.111317018320216e-07,5.111433398300587e-07,3
